"Time (s) Run #1","Position (m) Run #1"
23.100,0.5746
23.150,0.5973
23.200,0.6143
23.250,0.6273
23.300,0.6319
23.350,0.6278
23.400,0.6192
23.450,0.6043
23.500,0.5840
23.550,0.5579
23.600,0.5272
23.650,0.4928
23.700,0.4558
23.750,0.4156
23.800,0.3774
23.850,0.3385
23.900,0.3036
23.950,0.2729
24.000,0.2449
24.050,0.2248
24.100,0.2106
24.150,0.2031
24.200,0.2022
24.250,0.2085
24.300,0.2211
24.350,0.2398
24.400,0.2646
24.450,0.2963
24.500,0.3304
24.550,0.3690
24.600,0.4066
24.650,0.4450
24.700,0.4841
24.750,0.5190
24.800,0.5507
24.850,0.5777
24.900,0.5996
24.950,0.6155
25.000,0.6273
25.050,0.6308
25.100,0.6279
25.150,0.6163
25.200,0.6007
25.250,0.5792
25.300,0.5526
25.350,0.5212
25.400,0.4868
25.450,0.4475
25.500,0.4094
25.550,0.3715
25.600,0.3331
25.650,0.2991
25.700,0.2693
25.750,0.2424
25.800,0.2231
25.850,0.2101
25.900,0.2038
25.950,0.2043
26.000,0.2114
26.050,0.2251
26.100,0.2447
26.150,0.2721
26.200,0.3026
26.250,0.3369
26.300,0.3760
26.350,0.4134
26.400,0.4533
26.450,0.4903
26.500,0.5245
26.550,0.5549
26.600,0.5810
26.650,0.6017
26.700,0.6167
26.750,0.6254
26.800,0.6297
26.850,0.6237
26.900,0.6133
26.950,0.5966
27.000,0.5744
27.050,0.5471
27.100,0.5155
27.150,0.4807
27.200,0.4379
27.250,0.4030
27.300,0.3658
27.350,0.3276
27.400,0.2945
27.450,0.2634
27.500,0.2393
27.550,0.2217
27.600,0.2097
27.650,0.2047
27.700,0.2060
27.750,0.2143
27.800,0.2288
27.850,0.2493
27.900,0.2774
27.950,0.3086
28.000,0.3450
28.050,0.3820
28.100,0.4194
28.150,0.4591
28.200,0.4954
28.250,0.5290
28.300,0.5587
28.350,0.5838
28.400,0.6035
28.450,0.6195
28.500,0.6251
28.550,0.6284
28.600,0.6213
28.650,0.6097
28.700,0.5923
28.750,0.5694
28.800,0.5413
28.850,0.5090
28.900,0.4739
28.950,0.4346
29.000,0.3970
29.050,0.3597
29.100,0.3222
29.150,0.2898
29.200,0.2599
29.250,0.2371
29.300,0.2200
29.350,0.2094
29.400,0.2052
29.450,0.2080
29.500,0.2172
29.550,0.2326
29.600,0.2538
29.650,0.2829
29.700,0.3148
29.750,0.3513
29.800,0.3886
29.850,0.4256
29.900,0.4630
29.950,0.5008
30.000,0.5337
30.050,0.5625
30.100,0.5866
30.150,0.6053
30.200,0.6182
30.250,0.6268
30.300,0.6248
30.350,0.6186
30.400,0.6063
30.450,0.5879
30.500,0.5641
30.550,0.5356
30.600,0.5031
30.650,0.4675
30.700,0.4283
30.750,0.3909
30.800,0.3539
30.850,0.3172
30.900,0.2857
30.950,0.2566
31.000,0.2350
31.050,0.2191
31.100,0.2094
31.150,0.2064
31.200,0.2102
31.250,0.2205
31.300,0.2369
31.350,0.2612
31.400,0.2889
31.450,0.3209
31.500,0.3579
31.550,0.3947
31.600,0.4325
31.650,0.4712
31.700,0.5063
31.750,0.5383
31.800,0.5663
31.850,0.5894
31.900,0.6071
31.950,0.6188
32.000,0.6242
32.050,0.6233
32.100,0.6161
32.150,0.6027
32.200,0.5834
32.250,0.5589
32.300,0.5299
32.350,0.4969
32.400,0.4612
32.450,0.4218
32.500,0.3848
32.550,0.3462
32.600,0.3119
32.650,0.2813
32.700,0.2533
32.750,0.2326
32.800,0.2179
32.850,0.2093
32.900,0.2077
32.950,0.2125
33.000,0.2237
33.050,0.2415
33.100,0.2641
33.150,0.2942
33.200,0.3268
33.250,0.3640
33.300,0.4004
33.350,0.4378
33.400,0.4742
33.450,0.5111
33.500,0.5425
33.550,0.5698
33.600,0.5918
33.650,0.6083
33.700,0.6191
33.750,0.6232
33.800,0.6214
33.850,0.6130
33.900,0.5986
33.950,0.5786
34.000,0.5532
34.050,0.5236
34.100,0.4901
34.150,0.4523
34.200,0.4151
34.250,0.3784
34.300,0.3402
34.350,0.3067
34.400,0.2770
34.450,0.2500
34.500,0.2305
34.550,0.2168
34.600,0.2095
34.650,0.2087
34.700,0.2148
34.750,0.2271
34.800,0.2449
34.850,0.2716
34.900,0.3004
34.950,0.3333
35.000,0.3709
35.050,0.4076
35.100,0.4469
35.150,0.4831
35.200,0.5166
35.250,0.5470
35.300,0.5733
35.350,0.5941
35.400,0.6096
35.450,0.6190
35.500,0.6243
35.550,0.6212
35.600,0.6099
35.650,0.5946
35.700,0.5736
35.750,0.5478
35.800,0.5174
35.850,0.4839
35.900,0.4459
35.950,0.4089
36.000,0.3723
36.050,0.3348
36.100,0.3022
36.150,0.2733
36.200,0.2493
36.250,0.2291
36.300,0.2166
36.350,0.2105
36.400,0.2111
36.450,0.2182
36.500,0.2335
36.550,0.2526
36.600,0.2775
36.650,0.3069
36.700,0.3421
36.750,0.3779
36.800,0.4145
36.850,0.4508
36.900,0.4852
36.950,0.5220
